method	exec_time	solved
HC_SA	1.285	0
HC_FC	0.556	0
HC_RR	26.672	1
SA	3.914	0
HC_SA	0.263	0
HC_FC	0.436	0
HC_RR	26.446	1
SA	3.896	0
HC_SA	0.26	0
HC_FC	0.45	0
HC_RR	26.509	1
SA	3.84	0
HC_SA	0.262	0
HC_FC	0.406	0
HC_RR	26.499	1
SA	3.839	0
HC_SA	0.261	0
HC_FC	0.407	0
HC_RR	26.581	1
SA	0.128	1
HC_SA	0.262	0
HC_FC	0.228	1
HC_RR	26.615	1
SA	3.86	0
HC_SA	0.261	0
HC_FC	0.274	0
HC_RR	26.404	1
SA	3.873	0
HC_SA	0.262	0
HC_FC	0.358	0
HC_RR	26.429	1
SA	3.879	0
HC_SA	0.261	0
HC_FC	0.321	0
HC_RR	26.418	1
SA	3.856	0
HC_SA	0.261	0
HC_FC	0.382	0
HC_RR	26.519	1
SA	3.86	0
HC_SA	0.262	0
HC_FC	0.269	0
HC_RR	26.474	1
SA	3.864	0
HC_SA	0.261	0
HC_FC	0.55	0
HC_RR	26.488	1
SA	3.855	0
HC_SA	0.261	0
HC_FC	0.348	0
HC_RR	26.497	1
SA	3.855	0
HC_SA	0.265	0
HC_FC	0.412	0
HC_RR	26.412	1
SA	3.893	0
HC_SA	0.26	0
HC_FC	0.366	0
HC_RR	26.446	1
SA	3.878	0
HC_SA	0.262	0
HC_FC	0.384	0
HC_RR	26.434	1
SA	3.862	0
HC_SA	0.262	0
HC_FC	0.383	1
HC_RR	26.471	1
SA	3.844	0
HC_SA	0.258	0
HC_FC	0.29	0
HC_RR	26.457	1
SA	3.99	0
HC_SA	0.262	0
HC_FC	0.555	0
HC_RR	26.503	1
SA	0.177	1
HC_SA	0.258	0
HC_FC	0.759	0
HC_RR	26.42	1
SA	3.892	0
HC_SA	0.267	0
HC_FC	0.452	0
HC_RR	26.449	1
SA	0.718	1
HC_SA	0.257	0
HC_FC	0.395	0
HC_RR	26.503	1
SA	3.866	0
HC_SA	0.258	0
HC_FC	0.522	0
HC_RR	26.471	1
SA	3.869	0
HC_SA	0.257	0
HC_FC	0.424	0
HC_RR	26.531	1
SA	3.868	0
HC_SA	0.259	0
HC_FC	0.425	0
HC_RR	26.468	1
SA	3.872	0
HC_SA	0.256	0
HC_FC	0.332	0
HC_RR	26.467	1
SA	0.507	1
HC_SA	0.26	0
HC_FC	0.268	0
HC_RR	26.464	1
SA	3.823	0
HC_SA	0.259	0
HC_FC	0.285	0
HC_RR	26.512	1
SA	3.853	0
HC_SA	0.258	0
HC_FC	0.448	0
HC_RR	26.488	1
SA	3.873	0
HC_SA	0.262	0
HC_FC	0.586	0
HC_RR	26.502	1
SA	3.876	0
HC_SA	0.262	0
HC_FC	0.59	0
HC_RR	26.51	1
SA	3.869	0
HC_SA	0.263	0
HC_FC	0.5	0
HC_RR	26.494	1
SA	3.883	0
HC_SA	0.263	0
HC_FC	0.489	0
HC_RR	26.421	1
SA	3.857	0
HC_SA	0.257	0
HC_FC	0.386	0
HC_RR	26.442	1
SA	0.308	1
HC_SA	0.258	0
HC_FC	0.482	0
HC_RR	26.425	1
SA	3.876	0
HC_SA	0.26	0
HC_FC	0.315	0
HC_RR	26.45	1
SA	3.858	0
HC_SA	0.26	0
HC_FC	0.362	0
HC_RR	26.512	1
SA	3.884	0
HC_SA	0.263	0
HC_FC	0.395	0
HC_RR	26.462	1
SA	3.874	0
HC_SA	0.259	0
HC_FC	0.509	0
HC_RR	26.488	1
SA	3.844	0
HC_SA	0.259	0
HC_FC	0.339	0
HC_RR	26.512	1
SA	0.603	1
HC_SA	0.255	0
HC_FC	0.393	0
HC_RR	26.453	1
SA	0.243	1
HC_SA	0.258	0
HC_FC	0.381	0
HC_RR	26.429	1
SA	3.887	0
HC_SA	0.257	0
HC_FC	0.501	0
HC_RR	26.478	1
SA	3.857	0
HC_SA	0.259	0
HC_FC	0.318	0
HC_RR	26.484	1
SA	3.88	0
HC_SA	0.259	0
HC_FC	0.361	0
HC_RR	26.468	1
SA	3.851	0
HC_SA	0.256	0
HC_FC	0.599	0
HC_RR	26.657	1
SA	3.87	0
HC_SA	0.267	0
HC_FC	0.365	0
HC_RR	26.776	1
SA	0.832	1
HC_SA	0.258	0
HC_FC	0.386	0
HC_RR	26.702	1
SA	3.914	0
HC_SA	0.264	0
HC_FC	0.55	0
HC_RR	26.794	1
SA	3.971	0
HC_SA	0.264	0
HC_FC	0.488	0
HC_RR	26.742	1
SA	0.094	1
HC_SA	0.266	0
HC_FC	0.377	0
HC_RR	26.948	1
SA	3.881	0
HC_SA	0.26	0
HC_FC	0.352	0
HC_RR	26.914	1
SA	3.876	0
HC_SA	0.259	0
HC_FC	0.519	0
HC_RR	26.799	1
SA	3.866	0
HC_SA	0.259	0
HC_FC	0.642	0
HC_RR	26.657	1
SA	3.903	0
HC_SA	0.259	0
HC_FC	0.449	0
HC_RR	26.637	1
SA	3.891	0
HC_SA	0.26	0
HC_FC	0.253	1
HC_RR	26.556	1
SA	3.909	0
HC_SA	0.269	0
HC_FC	0.333	0
HC_RR	26.507	1
SA	3.867	0
HC_SA	0.258	0
HC_FC	0.494	0
HC_RR	26.477	1
SA	3.848	0
HC_SA	0.257	0
HC_FC	0.353	1
HC_RR	26.476	1
SA	3.853	0
HC_SA	0.263	0
HC_FC	0.483	0
HC_RR	26.609	1
SA	3.881	0
HC_SA	0.261	0
HC_FC	0.358	0
HC_RR	26.733	1
SA	3.894	0
HC_SA	0.258	0
HC_FC	0.263	0
HC_RR	26.675	1
SA	3.932	0
HC_SA	0.26	0
HC_FC	0.505	0
HC_RR	26.642	1
SA	3.924	0
HC_SA	0.271	0
HC_FC	0.356	0
HC_RR	26.653	1
SA	3.889	0
HC_SA	0.263	0
HC_FC	0.395	0
HC_RR	26.643	1
SA	3.884	0
HC_SA	0.259	0
HC_FC	0.325	0
HC_RR	26.586	1
SA	3.856	0
HC_SA	0.261	0
HC_FC	0.508	0
HC_RR	26.611	1
SA	3.865	0
HC_SA	0.262	0
HC_FC	0.556	0
HC_RR	26.55	1
SA	3.858	0
HC_SA	0.26	0
HC_FC	0.386	0
HC_RR	26.408	1
SA	3.876	0
HC_SA	0.261	0
HC_FC	0.321	0
HC_RR	26.433	1
SA	3.867	0
HC_SA	0.263	0
HC_FC	0.485	0
HC_RR	26.434	1
SA	3.871	0
HC_SA	0.26	0
HC_FC	0.44	0
HC_RR	26.477	1
SA	0.051	1
HC_SA	0.257	0
HC_FC	0.37	0
HC_RR	26.468	1
SA	3.856	0
HC_SA	0.261	0
HC_FC	0.387	0
HC_RR	26.456	1
SA	3.865	0
HC_SA	0.257	0
HC_FC	0.394	0
HC_RR	26.418	1
SA	3.885	0
HC_SA	0.263	0
HC_FC	0.407	0
HC_RR	26.422	1
SA	3.878	0
HC_SA	0.264	0
HC_FC	0.395	0
HC_RR	26.44	1
SA	0.39	1
HC_SA	0.255	0
HC_FC	0.778	0
HC_RR	26.525	1
SA	3.854	0
HC_SA	0.257	0
HC_FC	0.313	0
HC_RR	26.462	1
SA	3.886	0
HC_SA	0.258	0
HC_FC	0.421	0
HC_RR	26.495	1
SA	3.876	0
HC_SA	0.255	0
HC_FC	0.588	0
HC_RR	26.451	1
SA	3.883	0
HC_SA	0.262	0
HC_FC	0.323	0
HC_RR	26.462	1
SA	3.883	0
HC_SA	0.268	0
HC_FC	0.313	0
HC_RR	26.626	1
SA	3.852	0
HC_SA	0.256	0
HC_FC	0.386	0
HC_RR	26.463	1
SA	3.833	0
HC_SA	0.254	0
HC_FC	0.417	0
HC_RR	26.484	1
SA	3.858	0
HC_SA	0.259	0
HC_FC	0.327	0
HC_RR	26.476	1
SA	0.228	1
HC_SA	0.257	0
HC_FC	0.396	0
HC_RR	26.415	1
SA	3.907	0
HC_SA	0.277	0
HC_FC	0.443	1
HC_RR	26.659	1
SA	3.882	0
HC_SA	0.265	0
HC_FC	0.323	0
HC_RR	26.601	1
SA	3.896	0
HC_SA	0.257	0
HC_FC	0.386	0
HC_RR	26.702	1
SA	3.902	0
HC_SA	0.272	0
HC_FC	0.449	0
HC_RR	26.752	1
SA	3.883	0
HC_SA	0.256	0
HC_FC	0.245	0
HC_RR	26.75	1
SA	3.883	0
HC_SA	0.259	0
HC_FC	0.47	0
HC_RR	26.844	1
SA	3.862	0
HC_SA	0.267	0
HC_FC	0.436	0
HC_RR	26.635	1
SA	3.87	0
HC_SA	0.264	0
HC_FC	0.531	0
HC_RR	26.552	1
SA	0.284	1
HC_SA	0.261	0
HC_FC	0.367	0
HC_RR	26.573	1
SA	3.895	0
HC_SA	0.26	0
HC_FC	0.446	0
HC_RR	26.507	1
SA	0.259	1
HC_SA	0.258	0
HC_FC	0.37	0
HC_RR	26.589	1
SA	0.752	1
HC_SA	0.26	0
HC_FC	0.402	0
HC_RR	26.589	1
SA	3.899	0
HC_SA	0.269	0
HC_FC	0.445	0
HC_RR	26.591	1
SA	3.906	0
