method	exec_time	solved
HC_SA	0.658	0
HC_FC	0.808	0
HC_RR	66.663	1
SA	10.113	0
HC_SA	0.658	0
HC_FC	1.833	0
HC_RR	40.052	1
SA	4.373	0
HC_SA	0.285	0
HC_FC	0.349	0
HC_RR	30.311	1
SA	4.683	0
HC_SA	0.268	0
HC_FC	0.867	0
HC_RR	28.114	1
SA	4.171	0
HC_SA	0.269	0
HC_FC	0.363	0
HC_RR	27.922	1
SA	4.116	0
HC_SA	0.263	0
HC_FC	0.4	0
HC_RR	27.911	1
SA	4.176	0
HC_SA	0.276	0
HC_FC	0.321	0
HC_RR	27.825	1
SA	4.229	0
HC_SA	0.271	0
HC_FC	0.309	0
HC_RR	27.893	1
SA	4.172	0
HC_SA	0.273	0
HC_FC	0.437	0
HC_RR	27.854	1
SA	4.186	0
HC_SA	0.274	0
HC_FC	0.384	0
HC_RR	27.732	1
SA	0.386	1
